"content_id","title","type","description","release_year","genres_array","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","duration_num"
"013caa301b939c610c42d5134f7e071092f50340dde20ae0757ede6ac009bf23","Ancient Engineering","SHOW","Using the latest technological insights, this series sheds new light on how incredible feats of ancient engineering were achieved and how they continue to influence modern-day engineers and shape our world.","2021","['documentation']","['US']","1.0","","","","1.4","8.0","50"
"0146c2416b46c2c2f9bcd2d68eb00a5d80df5fa11cd09af30f2f31d9ceb60c74","Gossip Girl","SHOW","An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl.","2007","['thriller', 'drama', 'romance']","['US']","6.0","tt0397442","7.4","167534.0","84.236","8.4","42"
"016cf3ecdf187554d2428d1ba260de58243f9df1f9a36416d8b1d294bbff7009","I Am Evidence","MOVIE","The modern criminal justice system is hindered by the fact that countless rape kits remain untested in police evidence storage facilities across the United States. Only eight states currently have laws requiring mandatory testing of rape kits.","2017","['documentation']","['US']","","tt6794374","7.6","655.0","3.756","6.4","89"
"016e09387807e28450161082bdfc20c245a58cd7a009b783d12abe96335300e5","Casablanca","MOVIE","In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.","1942","['drama', 'romance', 'war']","['US']","","tt0034583","8.5","558849.0","20.087","8.2","102"
"016e5923f66b04d54a40375f06c7ab5f6e33adddaa8cd6dbf808bb83a9a4cd73","Only Yesterday","MOVIE","It’s 1982, and Taeko is 27 years old, unmarried, and has lived her whole life in Tokyo. She decides to visit her family in the countryside, where she begins to reconnect to forgotten longings. In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self.","1991","['romance', 'animation', 'drama']","['JP']","","tt0102587","7.6","30768.0","13.584","7.3","119"
"01898479ceaff29abb0bed5cfbea13a360e9fd51e28688e8cd942539617d8458","Bilardo, the Soccer Doctor","SHOW","A revealing and intimate docuseries chronicling the life and career of Argentine national soccer team coach Dr. Carlos Bilardo through insights from family, friends, former players, and rivals.","2022","['documentation']","['AR']","1.0","tt18340076","7.9","196.0","27.814","6.7","52"
"018dd0929ea04a2cbe09d1c0dda211eb938282324c6da3f8d576cb9b48a3afdd","At Close Range","MOVIE","Brad Whitewood Jr. lives in rural Pennsylvania and has few prospects. Against his mother's wishes, he seeks out his estranged father, the head of a gang of thieves in a nearby town. Though his new girlfriend supports his criminal ambitions, Brad Jr. soon learns that his father is a dangerous man. Inspired by the real events that led to the end of the Johnston Gang, who operated in the northeastern United States in the 1970s.","1986","['thriller', 'drama', 'crime']","['US']","","tt0090670","6.9","15732.0","7.735","6.9","111"
"01c4ca71efdf21ea6e2ed34d2ca7f71b18ccfe2a6b5257d1e79dfe34a2e059c9","The Lady Vanishes","MOVIE","On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly.","1938","['thriller']","['GB']","","tt0030341","7.8","51847.0","9.64","7.5","96"
"01dc24f72e4c6e08fb40f0c663606a8f02380afda6f99a02871cdd6ea3d856eb","The Rugrats Movie","MOVIE","Annoyed by the responsibility of being an older brother to Dil, Tommy sets out with Chuckie, Phil, and Lil to return his baby brother to the hospital. However, they inadvertently get lost in the woods during their trip.","1998","['comedy', 'drama', 'family', 'animation']","['US']","","tt0134067","5.9","19303.0","45.288","6.2","79"
"01fd0b6b3132e450b52d08c2658d469a314cf0cf75ce105276f56868a1dec813","Le Samouraï","MOVIE","In a career-defining performance, Alain Delon plays Jef Costello, a contract killer with samurai instincts. After carrying out a flawlessly planned hit, Jef finds himself caught between a persistent police investigator and a ruthless employer, and not even his armor of fedora and trench coat can protect him. An elegantly stylized masterpiece of cool by maverick director Jean‑Pierre Melville, Le samouraï is a razor-sharp cocktail of 1940s American gangster cinema and 1960s French pop culture—with a liberal dose of Japanese lone-warrior mythology.","1967","['crime', 'thriller', 'european', 'drama']","['FR', 'IT']","","tt0062229","8.1","49831.0","10.862","7.9","105"
