"content_id","title","type","description","release_year","genres_array","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","duration_num"
"669d257bcd35266893690da29a186f537c867ba7b5fe5c588d6b8b429ee111dd","Trocadero","MOVIE","A newspaper columnist and host of his own national network radio program, interviewing more film personalities on his show than any other commentator, is searching for a story for a Sunday column carried by newspaper from coast to coast. Hanging out in Hollywood's famed Trocadero restaurant and night-spot, he gets his story when \"Troc\" owner and band-leader Eddie LeBaron, relates to him the sage of the famed screenland nitery. And hears plenty of music furnished by four of the top name-bands in the land, including that of Bob Chester, who formed his own swing band in 1935 after being top saxophonist with the bands of Ben Pollack and Ben Bernie. Singer Ida James and the Chester band led off with \"Shoo Shoo Baby\" in their screen debut.","1944","['music', 'comedy']","['US']","","tt0037399","5.6","135.0","1.638","4.0","74"
"66ad9ae96cbb7b2fa436808284c93bb1689b1334b53c849035b708bbefa7b8e9","Over Australia","SHOW","This is a two part series about Australia. Part 1 is titled \"Arid Heart\" and part 2 is \"The Great Divide\".","2017","[]","['CA']","1.0","tt7497056","8.1","18.0","1.349","","44"
"66c92651f546798b9f9468e5c2d063126349dbc89add104216a5eef439288f94","I Like Me","MOVIE","In the midst of family tensions, an egocentric free spirit who hits rock bottom finds unexpected success as a self-empowerment guru after publishing a self-help book.","2018","['comedy', 'drama']","['US']","","tt7134690","3.8","282.0","1.281","5.0","83"
"66d19be54ffe9a15e6d2114cb8263bd436d73988f0451036604bf8efefa79b04","Invisible Ghost","MOVIE","The town's leading citizen is a man victim of homicidal impulses beyond his control. He is being controlled by his wife who had left him for another man. She was involved in a car accident that has left her brain damaged and is kept in the basement, in secret, by Kessler's gardener.","1941","['thriller', 'crime', 'drama', 'horror']","['US']","","tt0033760","5.2","2353.0","3.309","5.4","64"
"66fa11b44c14d321e753f4a532e4855af465844756e8270e6a6ed717c2d7552f","Galaxy Quest","MOVIE","For four years, the courageous crew of the NSEA protector - \"Commander Peter Quincy Taggart\" (Tim Allen), \"Lt. Tawny Madison (Sigourney Weaver) and \"Dr.Lazarus\" (Alan Rickman) - set off on a thrilling and often dangerous mission in space...and then their series was cancelled! Now, twenty years later, aliens under attack have mistaken the Galaxy Quest television transmissions for \"historical documents\" and beam up the crew of has-been actors to save the universe. With no script, no director and no clue, the actors must turn in the performances of their lives.","1999","['scifi', 'comedy']","['US']","","tt0177789","7.4","166882.0","17.967","7.1","101"
"670a64c95c730ee75ea9f11a90d0bdf7414b15fe51df9262679673b6b6824cfc","Design with the Other 90%","SHOW","The phenomenon of mass urbanization across the developing and the new wave of designers rising to meet the challenges.","2011","['documentation']","['US']","1.0","tt2121908","","","0.6","","27"
"6710b8ebfec00c7485a2e6332e3482792a0c676e8db585ba1672506721306376","Bob the Builder: The Knights of Can-A-Lot","MOVIE","When an old castle needs repairs, it's time to call Bob the Builder! Unfortunately a case of mistaken identity puts Bob's father in charge, resulting in one disaster after another! Meanwhile, tales of Camelot inspire Bob's noble crew of machines - Sir Lift-A-Sot, Sir Roll-A-Lot and Lady Mix-A-Lot - in their quest to get the job done. And Sir Spud-A-Lot finds a suit of armor and a fiery steed almost perfect for jousting! Back at the castle, Bob's father is a bit of a royal pain, locking himself and Bob in the dungeon and then finding himself mysteriously trapped in a maze! Finally, a medieval pageant celebrates the grand opening of the castle and a great father-son relationship.","2004","['animation', 'comedy', 'family', 'fantasy']","['GB']","","tt0397931","7.3","56.0","1.27","6.8","43"
"6715bcf74aef0a02d894be3b75372023cb9b6c11c18c301156dcc5f50f42c980","Outpost in Morocco","MOVIE","Captain Gerard, greatest lover in the Foreign Legion, is assigned to escort an emir's daughter to her father's mountain citadel and find out what he can about the emir's activities. Gerard enjoys his work with lovely Cara, but arrives to find rebellion brewing.","1949","['action']","['US']","","tt0041724","5.2","471.0","2.54","4.9","92"
"6743b4f0ac6773f8f6a856f647838c73feb9a57ef0841b555b2d6cd33f794978","The Devil Bat","MOVIE","Dr. Paul Carruthers feels bitter at being betrayed by his employers, Heath and Morton, when they became rich as a result of a product he devised. He gains revenge by electrically enlarging bats and sending them out to kill his employers' family members by instilling in the bats a hatred for a particular perfume he has discovered, which he gets his victims to apply before going outdoors. Johnny Layton, a reporter, finally figures out Carruthers is the killer and, after putting the perfume on himself, douses it on Carruthers in the hopes it will get him to give himself away. One of the two is attacked as the giant bat makes one of its screaming, swooping power dives.","1940","['horror', 'scifi']","['US']","","tt0032390","5.4","3221.0","5.635","5.4","68"
"67537428b737e2aa69a6d0460b3bf392b8bcf70bd7ec864f19df08f882b8475b","Tracy Morgan: Bona Fide","MOVIE","The legendary Tracy Morgan returns to his roots in his new stand-up special, \"Tracy Morgan: Bona Fide\". Tracy delivers a hilarious hour that includes everything from growing up in the projects to the time Prince threw him out of his house after a party.","2014","['comedy']","['US']","","tt3663890","6.4","142.0","2.761","5.1","60"
"676e3a4a09b8bc3486e99be45145c3d35e4392793d800283c3bfff2b097e62f4","Made for Each Other","MOVIE","A couple struggle to find happiness after a whirlwind courtship.","1939","['comedy', 'drama', 'romance']","['US']","","tt0031602","6.3","3773.0","4.559","6.1","92"
"679a03bc9f01a4a7c258ff42b1a6206506680bdbe406b1675273c67fd0b89c59","I'm from Arkansas","MOVIE","A town in Arkansas makes national headlines when a local sow gives birth to 18 piglets.","1944","['comedy', 'music', 'romance']","['US']","","tt0036941","5.3","190.0","1.581","5.2","70"
"67b1492abea0df4f925894bfc51cb522bc85a7e6aa9a37524f5c97d2b1be83d6","All That","SHOW","The new kids of comedy bring the funny as All That, America’s #1 kid’s sketch comedy show, returns with a new cast and a few familiar faces. From Executive Producers Kenan Thompson and Kel Mitchell.","1994","['comedy', 'family', 'music']","['US']","11.0","tt0111875","7.5","7913.0","16.738","8.119","24"
"67bda0a811df8853f707d8cd4cef658abff0e09997749e8fc2b38e00f63f0733","Ghost Patrol","MOVIE","A Professor has an invention that will bring down planes causing them to crash and Dawson is forcing him to use it on those carrying money. When Tim arrives to investigate he is mistaken for a noted outlaw. So he assumes that identity to force Dawson to make him a partner. But just as a plane bringing Tim help is arriving, his true identity is revealed and while he is a prisoner, Dawson forces the Professor to start his machine.","1936","['western', 'crime', 'romance', 'scifi']","['US']","","tt0027669","4.5","230.0","1.4","4.571","60"
"67c7da3fa8fcf5398f14e89619bf465c0803767511fd3ae71d9866f77c93332f","In the Heat of the Night","MOVIE","African-American Philadelphia police detective Virgil Tibbs is arrested on suspicion of murder by Bill Gillespie, the racist police chief of tiny Sparta, Mississippi. After Tibbs proves not only his own innocence but that of another man, he joins forces with Gillespie to track down the real killer. Their investigation takes them through every social level of the town, with Tibbs making enemies as well as unlikely friends as he hunts for the truth.","1967","['thriller', 'drama', 'crime']","['US']","","tt0061811","7.9","78423.0","20.316","7.687","109"
"67d581ddf1ad6cfa08bf027dbf8a799fa7488d360da17c2294e4fad41acf4ea8","The Terminal","MOVIE","Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant.","2004","['drama', 'comedy', 'romance']","['US']","","tt0384593","7.4","441752.0","54.366","7.326","128"
